<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APE,D,20130808,000000,3.1639,3.2729,3.0913,3.1821,5643,0
APE,D,20130809,000000,3.1639,3.1639,2.9185,2.9185,727,0
APE,D,20130813,000000,2.9821,2.9821,2.9185,2.9185,1493,0
APE,D,20130814,000000,2.8275,2.8275,2.5458,2.8185,1456,0
APE,D,20130816,000000,2.7276,2.9093,2.5547,2.9093,1584,0
APE,D,20130819,000000,2.8275,2.8275,2.6365,2.6365,1901,0
APE,D,20130820,000000,2.6821,2.9093,2.6365,2.6821,5091,0
APE,D,20130821,000000,2.6913,2.7094,2.6365,2.7094,2434,0
APE,D,20130822,000000,2.8821,2.973,2.8821,2.973,1956,0
APE,D,20130823,000000,2.973,2.973,2.973,2.973,110,0
APE,D,20130826,000000,2.973,2.973,2.8185,2.8185,2072,0
APE,D,20130827,000000,2.8185,2.8185,2.8185,2.8185,110,0
APE,D,20130828,000000,2.6548,2.8185,2.6548,2.8185,110,0
APE,D,20130902,000000,2.773,2.773,2.6365,2.6365,3677,0
APE,D,20130903,000000,2.6548,2.6548,2.6548,2.6548,20568,0
APE,D,20130906,000000,2.773,2.773,2.773,2.773,1337,0
APE,D,20130909,000000,2.7822,2.7822,2.7822,2.7822,540,0
APE,D,20130911,000000,2.7367,2.7367,2.7367,2.7367,220,0
APE,D,20130919,000000,2.8185,2.8185,2.8185,2.8185,961,0
APE,D,20130923,000000,2.8185,2.8185,2.8185,2.8185,220,0
APE,D,20130926,000000,2.8185,2.8185,2.8185,2.8185,352,0
APE,D,20131001,000000,2.664,2.664,2.664,2.664,319,0
APE,D,20131009,000000,2.8094,2.8094,2.8094,2.8094,165,0
APE,D,20131010,000000,2.8185,2.8185,2.6821,2.8185,329,0
APE,D,20131022,000000,2.773,2.773,2.7276,2.7276,198,0
APE,D,20131023,000000,2.6821,2.6821,2.6821,2.6821,110,0
APE,D,20131025,000000,2.6821,2.6821,2.664,2.664,800,0
APE,D,20131030,000000,2.664,2.664,2.664,2.664,54,0
APE,D,20131031,000000,2.8185,2.8185,2.8185,2.8185,65,0
APE,D,20131104,000000,2.8185,2.8185,2.8185,2.8185,54,0
APE,D,20131105,000000,2.7276,2.7276,2.7276,2.7276,550,0
APE,D,20131107,000000,2.7639,2.7639,2.7639,2.7639,110,0
APE,D,20131108,000000,2.7276,2.7276,2.7276,2.7276,165,0
APE,D,20131113,000000,2.7639,2.7639,2.7639,2.7639,54,0
APE,D,20131115,000000,2.7639,2.7639,2.7639,2.7639,2089,0
APE,D,20131118,000000,2.6821,2.6821,2.6821,2.6821,204,0
APE,D,20131119,000000,2.7639,2.8185,2.7639,2.8185,3873,0
APE,D,20131120,000000,2.8185,2.8185,2.7367,2.8185,4896,0
APE,D,20131121,000000,2.8185,2.8185,2.8185,2.8185,1165,0
APE,D,20131122,000000,2.773,2.773,2.664,2.664,5943,0
APE,D,20131125,000000,2.7456,2.8185,2.7456,2.8185,24132,0
APE,D,20131126,000000,2.8185,2.8185,2.773,2.773,4497,0
APE,D,20131127,000000,2.8094,2.8094,2.8094,2.8094,4430,0
APE,D,20131129,000000,2.8094,2.8185,2.8094,2.8185,1320,0
APE,D,20131202,000000,2.8185,2.8185,2.8185,2.8185,2232,0
APE,D,20131203,000000,2.8185,2.8185,2.8185,2.8185,16723,0
APE,D,20131205,000000,2.7822,2.7822,2.7822,2.7822,769,0
APE,D,20131206,000000,2.7822,2.7822,2.7822,2.7822,328,0
APE,D,20131209,000000,2.7822,2.7822,2.7276,2.7822,5336,0
APE,D,20131210,000000,2.773,2.8185,2.773,2.8004,8556,0
APE,D,20131211,000000,2.773,2.773,2.773,2.773,220,0
APE,D,20131212,000000,2.8185,2.8185,2.8185,2.8185,10998,0
APE,D,20131213,000000,2.773,2.773,2.7276,2.7276,7556,0
APE,D,20131216,000000,2.7367,2.7367,2.7367,2.7367,3443,0
APE,D,20131219,000000,2.7822,2.7822,2.7276,2.7276,6159,0
APE,D,20131220,000000,2.8004,2.8185,2.7456,2.7456,12612,0
APE,D,20131223,000000,2.8185,2.8185,2.8185,2.8185,1215,0
APE,D,20131230,000000,2.8185,2.8185,2.8185,2.8185,220,0
APE,D,20140103,000000,2.9185,2.9366,2.8185,2.8185,21284,0
APE,D,20140107,000000,2.8185,2.8185,2.8185,2.8185,1760,0
APE,D,20140108,000000,2.8185,2.8185,2.8185,2.8185,3662,0
APE,D,20140109,000000,2.8185,2.8185,2.8185,2.8185,14238,0
APE,D,20140113,000000,2.9548,3.1821,2.9548,3.1731,1808,0
APE,D,20140114,000000,3.1731,3.5276,3.1731,3.5276,1305,0
APE,D,20140115,000000,3.4549,3.5004,3.4094,3.5004,6818,0
APE,D,20140116,000000,3.3822,3.5004,3.3641,3.5004,6690,0
APE,D,20140117,000000,3.4549,3.4549,3.4549,3.4549,1101,0
APE,D,20140120,000000,3.4549,3.4549,3.4549,3.4549,329,0
APE,D,20140121,000000,3.4549,3.5912,3.4549,3.5912,14739,0
APE,D,20140122,000000,3.4549,3.4549,3.4549,3.4549,661,0
APE,D,20140124,000000,3.4549,3.5004,3.4094,3.4549,1661,0
APE,D,20140127,000000,3.4549,3.5276,3.4549,3.5276,1215,0
APE,D,20140128,000000,3.4549,3.4549,3.4549,3.4549,1101,0
APE,D,20140129,000000,3.4549,3.4549,3.4549,3.4549,440,0
APE,D,20140131,000000,3.4549,3.4549,3.4549,3.4549,1648,0
APE,D,20140203,000000,3.4094,3.5458,3.4094,3.5458,6050,0
APE,D,20140204,000000,3.5458,3.5458,3.5458,3.5458,10,0
APE,D,20140205,000000,3.5912,3.5912,3.5912,3.5912,177,0
APE,D,20140206,000000,3.5822,3.6368,3.5458,3.6185,4793,0
APE,D,20140207,000000,3.5458,3.6093,3.5458,3.6093,1890,0
APE,D,20140210,000000,3.6093,3.7276,3.6093,3.6368,23942,0
APE,D,20140211,000000,3.6459,3.6823,3.6368,3.6823,33317,0
APE,D,20140212,000000,3.6823,3.6823,3.6731,3.6823,17128,0
APE,D,20140213,000000,3.6823,3.6823,3.6823,3.6823,5160,0
APE,D,20140214,000000,3.6731,3.6731,3.6459,3.6459,8533,0
APE,D,20140217,000000,3.6459,3.7731,3.6368,3.7731,193966,0
APE,D,20140218,000000,3.9094,3.9459,3.864,3.864,14305,0
APE,D,20140219,000000,3.7458,3.864,3.6459,3.7549,11284,0
APE,D,20140220,000000,3.7276,3.855,3.6368,3.855,161964,0
APE,D,20140221,000000,3.8096,3.8186,3.8096,3.8186,6537,0
APE,D,20140224,000000,3.8003,3.9459,3.8003,3.9459,57175,0
