<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FMG,D,20091202,000000,821.67,1073,620.6,676.67,729,0
FMG,D,20091203,000000,715.33,858.4,483.33,591.6,390,0
FMG,D,20091204,000000,562.6,580,502.67,508.47,69,0
FMG,D,20091207,000000,489.13,493,450.47,493,33,0
FMG,D,20091208,000000,471.73,483.33,425.33,446.6,61,0
FMG,D,20091209,000000,427.27,460.13,396.33,396.33,121,0
FMG,D,20091210,000000,378.93,462.07,378.93,462.07,87,0
FMG,D,20091211,000000,452.4,452.4,402.13,435,30,0
FMG,D,20091214,000000,413.73,413.73,406,406,8,0
FMG,D,20091215,000000,396.33,417.6,390.53,394.4,18,0
FMG,D,20091216,000000,425.33,462.07,371.2,462.07,72,0
FMG,D,20091217,000000,390.53,436.93,390.53,396.33,11,0
FMG,D,20091218,000000,396.33,407.93,373.13,384.73,19,0
FMG,D,20091221,000000,380.87,396.33,377,396.33,10,0
FMG,D,20091222,000000,378.93,406,377,406,2,0
FMG,D,20091223,000000,377,386.67,377,377,18,0
FMG,D,20091228,000000,386.67,386.67,351.87,351.87,48,0
FMG,D,20091229,000000,353.8,353.8,353.8,353.8,1,0
FMG,D,20091230,000000,353.8,367.33,349.93,367.33,9,0
FMG,D,20091231,000000,377,382.8,377,382.8,1,0
FMG,D,20100106,000000,348,357.67,338.33,342.2,35,0
FMG,D,20100107,000000,330.6,355.73,328.67,355.73,8,0
FMG,D,20100108,000000,365.4,365.4,348,355.73,5,0
FMG,D,20100111,000000,349.93,349.93,320.93,349.93,2,0
FMG,D,20100112,000000,338.33,342.2,338.33,342.2,6,0
FMG,D,20100113,000000,342.2,346.07,334.47,340.27,69,0
FMG,D,20100114,000000,340.27,344.13,340.27,344.13,110,0
FMG,D,20100115,000000,344.13,344.13,330.6,344.13,94,0
FMG,D,20100118,000000,338.33,394.4,338.33,394.4,39,0
FMG,D,20100119,000000,396.33,464,392.47,392.47,74,0
FMG,D,20100120,000000,367.33,367.33,355.73,367.33,48,0
FMG,D,20100121,000000,388.6,394.4,355.73,394.4,15,0
FMG,D,20100122,000000,396.33,440.8,377,406,134,0
FMG,D,20100125,000000,406,406,367.33,386.67,94,0
FMG,D,20100126,000000,384.73,386.67,380.87,386.67,37,0
FMG,D,20100127,000000,386.67,386.67,386.67,386.67,11,0
FMG,D,20100128,000000,380.87,380.87,378.93,380.87,9,0
FMG,D,20100129,000000,406,413.73,396.33,406,30,0
FMG,D,20100201,000000,423.4,452.4,423.4,444.67,70,0
FMG,D,20100202,000000,460.13,496.87,444.67,496.87,89,0
FMG,D,20100203,000000,510.4,674.73,510.4,591.6,367,0
FMG,D,20100204,000000,591.6,663.13,551,551,299,0
FMG,D,20100205,000000,578.07,607.07,502.67,580,103,0
FMG,D,20100208,000000,618.67,632.2,537.47,537.47,125,0
FMG,D,20100209,000000,551,638,543.27,609,272,0
FMG,D,20100210,000000,620.6,655.4,560.67,609,169,0
FMG,D,20100211,000000,595.47,607.07,483.33,518.13,260,0
FMG,D,20100212,000000,529.73,531.67,483.33,512.33,79,0
FMG,D,20100215,000000,512.33,525.87,512.33,525.87,15,0
FMG,D,20100216,000000,520.07,520.07,452.4,454.33,25,0
FMG,D,20100217,000000,444.67,483.33,444.67,481.4,23,0
FMG,D,20100218,000000,477.53,479.47,446.6,473.67,14,0
FMG,D,20100222,000000,473.67,502.67,473.67,502.67,1,0
FMG,D,20100223,000000,446.6,483.33,402.13,471.73,12,0
FMG,D,20100224,000000,467.87,467.87,467.87,467.87,2,0
FMG,D,20100225,000000,446.6,446.6,444.67,444.67,5,0
FMG,D,20100226,000000,464,483.33,464,483.33,11,0
FMG,D,20100301,000000,464,481.4,464,481.4,3,0
FMG,D,20100302,000000,444.67,464,431.13,454.33,10,0
FMG,D,20100304,000000,444.67,454.33,435,435,4,0
FMG,D,20100305,000000,477.53,481.4,464,479.47,11,0
FMG,D,20100309,000000,450.47,450.47,444.67,450.47,8,0
FMG,D,20100310,000000,444.67,444.67,429.2,429.2,6,0
FMG,D,20100311,000000,429.2,444.67,419.53,444.67,9,0
FMG,D,20100312,000000,429.2,444.67,417.6,444.67,16,0
FMG,D,20100315,000000,419.53,435,409.87,429.2,16,0
FMG,D,20100316,000000,417.6,438.87,415.67,438.87,13,0
FMG,D,20100317,000000,415.67,448.53,415.67,448.53,19,0
FMG,D,20100318,000000,431.13,450.47,398.27,450.47,27,0
FMG,D,20100319,000000,446.6,446.6,419.53,444.67,7,0
FMG,D,20100322,000000,409.87,452.4,402.13,402.13,9,0
FMG,D,20100323,000000,415.67,415.67,402.13,404.07,2,0
FMG,D,20100324,000000,415.67,415.67,402.13,402.13,2,0
FMG,D,20100325,000000,415.67,415.67,415.67,415.67,9,0
FMG,D,20100326,000000,423.4,435,390.53,431.13,12,0
FMG,D,20100329,000000,396.33,415.67,392.47,402.13,8,0
FMG,D,20100330,000000,421.47,421.47,421.47,421.47,0,0
FMG,D,20100331,000000,407.93,407.93,406,406,16,0
FMG,D,20100401,000000,406,411.8,390.53,411.8,41,0
FMG,D,20100406,000000,390.53,392.47,390.53,392.47,2,0
FMG,D,20100407,000000,394.4,406,373.13,386.67,24,0
FMG,D,20100408,000000,402.13,402.13,402.13,402.13,0,0
FMG,D,20100409,000000,402.13,402.13,402.13,402.13,0,0
FMG,D,20100412,000000,386.67,411.8,386.67,411.8,11,0
FMG,D,20100413,000000,396.33,411.8,396.33,411.8,19,0
FMG,D,20100414,000000,411.8,421.47,411.8,421.47,3,0
FMG,D,20100415,000000,417.6,431.13,417.6,431.13,18,0
FMG,D,20100416,000000,400.2,431.13,400.2,431.13,3,0
FMG,D,20100419,000000,402.13,421.47,357.67,406,16,0
FMG,D,20100420,000000,406,419.53,406,419.53,8,0
FMG,D,20100421,000000,388.6,409.87,386.67,409.87,8,0
FMG,D,20100422,000000,409.87,409.87,406,406,23,0
FMG,D,20100423,000000,386.67,406,382.8,406,12,0
FMG,D,20100427,000000,402.13,402.13,371.2,371.2,0,0
FMG,D,20100428,000000,396.33,396.33,396.33,396.33,0,0
FMG,D,20100429,000000,402.13,419.53,394.4,411.8,10,0
FMG,D,20100430,000000,431.13,431.13,431.13,431.13,5,0
FMG,D,20100504,000000,415.67,421.47,411.8,411.8,27,0
FMG,D,20100505,000000,421.47,423.4,421.47,423.4,16,0
FMG,D,20100506,000000,438.87,438.87,438.87,438.87,0,0
FMG,D,20100507,000000,411.8,438.87,411.8,438.87,16,0
FMG,D,20100510,000000,415.67,415.67,415.67,415.67,2,0
FMG,D,20100512,000000,415.67,415.67,400.2,400.2,5,0
FMG,D,20100513,000000,413.73,438.87,400.2,438.87,6,0
FMG,D,20100517,000000,435,435,435,435,0,0
FMG,D,20100518,000000,423.4,423.4,423.4,423.4,1,0
FMG,D,20100519,000000,440.8,440.8,440.8,440.8,1,0
FMG,D,20100520,000000,438.87,438.87,436.93,436.93,2,0
FMG,D,20100521,000000,433.07,433.07,433.07,433.07,0,0
FMG,D,20100525,000000,398.27,427.27,380.87,413.73,16,0
FMG,D,20100526,000000,386.67,386.67,386.67,386.67,1,0
FMG,D,20100527,000000,388.6,409.87,384.73,409.87,6,0
FMG,D,20100528,000000,386.67,415.67,386.67,415.67,0,0
FMG,D,20100531,000000,388.6,415.67,388.6,415.67,0,0
FMG,D,20100601,000000,386.67,406,386.67,406,8,0
FMG,D,20100602,000000,384.73,406,384.73,406,1,0
FMG,D,20100604,000000,384.73,406,384.73,406,0,0
FMG,D,20100607,000000,384.73,402.13,384.73,402.13,0,0
FMG,D,20100608,000000,384.73,402.13,384.73,402.13,3,0
FMG,D,20100610,000000,402.13,402.13,402.13,402.13,0,0
FMG,D,20100611,000000,384.73,384.73,384.73,384.73,2,0
FMG,D,20100614,000000,402.13,402.13,402.13,402.13,0,0
FMG,D,20100615,000000,402.13,402.13,402.13,402.13,0,0
FMG,D,20100618,000000,384.73,423.4,367.33,423.4,11,0
FMG,D,20100621,000000,369.27,421.47,369.27,421.47,0,0
FMG,D,20100622,000000,375.07,375.07,375.07,375.07,2,0
FMG,D,20100623,000000,375.07,386.67,375.07,375.07,8,0
FMG,D,20100625,000000,415.67,415.67,378.93,415.67,0,0
FMG,D,20100629,000000,378.93,415.67,377,415.67,7,0
FMG,D,20100702,000000,367.33,367.33,363.47,363.47,2,0
FMG,D,20100706,000000,386.67,411.8,386.67,411.8,0,0
FMG,D,20100707,000000,390.53,390.53,390.53,390.53,1,0
FMG,D,20100708,000000,390.53,404.07,390.53,404.07,4,0
FMG,D,20100715,000000,373.13,400.2,332.53,400.2,44,0
FMG,D,20100720,000000,367.33,384.73,342.2,342.2,21,0
FMG,D,20100721,000000,384.73,384.73,384.73,384.73,0,0
FMG,D,20100726,000000,384.73,394.4,348,394.4,7,0
FMG,D,20100727,000000,394.4,394.4,394.4,394.4,0,0
FMG,D,20100730,000000,386.67,386.67,386.67,386.67,6,0
FMG,D,20100802,000000,386.67,386.67,386.67,386.67,5,0
FMG,D,20100806,000000,388.6,388.6,388.6,388.6,0,0
FMG,D,20100810,000000,394.4,465.93,394.4,460.13,96,0
FMG,D,20100811,000000,481.4,483.33,481.4,481.4,62,0
FMG,D,20100812,000000,473.67,475.6,429.2,429.2,13,0
FMG,D,20100813,000000,406,467.87,406,467.87,5,0
FMG,D,20100816,000000,394.4,444.67,394.4,444.67,36,0
FMG,D,20100817,000000,425.33,425.33,425.33,425.33,3,0
FMG,D,20100820,000000,390.53,390.53,390.53,390.53,3,0
FMG,D,20100824,000000,390.53,415.67,386.67,415.67,6,0
FMG,D,20100825,000000,396.33,415.67,386.67,415.67,3,0
FMG,D,20100827,000000,386.67,386.67,386.67,386.67,2,0
FMG,D,20100830,000000,415.67,415.67,415.67,415.67,0,0
FMG,D,20100831,000000,388.6,388.6,384.73,384.73,8,0
FMG,D,20100902,000000,377,409.87,377,409.87,3,0
FMG,D,20100903,000000,384.73,409.87,349.93,409.87,13,0
FMG,D,20100906,000000,357.67,357.67,349.93,349.93,12,0
FMG,D,20100907,000000,349.93,349.93,349.93,349.93,2,0
FMG,D,20100908,000000,338.33,375.07,338.33,365.4,10,0
FMG,D,20100909,000000,369.27,369.27,369.27,369.27,4,0
FMG,D,20100910,000000,375.07,375.07,375.07,375.07,3,0
FMG,D,20100913,000000,365.4,365.4,365.4,365.4,2,0
FMG,D,20100915,000000,353.8,353.8,348,348,13,0
FMG,D,20100916,000000,373.13,373.13,373.13,373.13,0,0
FMG,D,20100917,000000,351.87,382.8,351.87,382.8,1,0
FMG,D,20100922,000000,355.73,382.8,355.73,382.8,8,0
FMG,D,20100923,000000,380.87,406,380.87,406,10,0
FMG,D,20100928,000000,363.47,406,363.47,406,15,0
FMG,D,20100930,000000,361.53,406,361.53,406,0,0
FMG,D,20101001,000000,365.4,409.87,365.4,409.87,0,0
FMG,D,20101014,000000,386.67,409.87,386.67,409.87,72,0
FMG,D,20101018,000000,409.87,409.87,386.67,409.87,24,0
FMG,D,20101020,000000,371.2,409.87,348,365.4,130,0
FMG,D,20101021,000000,348,365.4,346.07,351.87,8,0
FMG,D,20101022,000000,351.87,353.8,351.87,353.8,35,0
FMG,D,20101025,000000,359.6,365.4,359.6,365.4,6,0
FMG,D,20101026,000000,365.4,365.4,365.4,365.4,1,0
FMG,D,20101027,000000,357.67,378.93,353.8,378.93,115,0
FMG,D,20101029,000000,378.93,378.93,342.2,369.27,15,0
FMG,D,20101102,000000,367.33,404.07,367.33,404.07,46,0
FMG,D,20101103,000000,365.4,425.33,351.87,415.67,38,0
